,method,R_quantille,n_top_companies,period_change_portfolio,size_of_window,sharp_score,sortino_score,VaR_score,final_return,ave_block_return,n_components,kernelcoef0,kerneldegree,kernelgamma
0,Без оптимизаций,0.8915730244288569,81,240,1735,0.07378771041391367,0.12021036030961366,0.9876926013724864,2.181218826384732,1.4528548720320007,,,,
1,PCA,0.8546105865987311,55,120,525,0.07627126128411528,0.12337389801147532,0.9837425862836289,2.110878393350003,1.5091223958423925,29.0,,,
2,KernelPCA poly,0.8728344035812776,65,360,800,0.07708133532467212,0.12555783567394302,0.9795051475287482,4.163534411583472,2.1821931608314764,15.0,0.71,2.0,0.028
3,"KernelPCA, rbf",0.8320563108063056,65,,325,0.05889982327371444,0.09221889783563525,0.9852984031515972,3.359270767427068,1.7910982259490729,22.0,,,0.046000000000000006
4,"Без оптимизаций, var",0.8121416401301853,88,900,215,0.08636468267294906,0.13426482244149443,0.9890691217882872,2.357801511342981,1.542210427514315,,,,
5,"PCA, var",0.8868902853308525,100,360,225,0.08000021275465417,0.13070261967881328,0.980023647619482,2.0996341940552976,1.4489486343995277,30.0,,,
6,"kernel PCA, poly, var",0.907898007521922,100,720,1600,0.043842913258001576,0.0684503016400369,0.9811718027156452,2.646247747337883,1.5148841694979371,33.0,0.69,2.0,0.03
7,"kernel PCA, rbf, var",0.9673182354066721,95,,300,0.06763345456093663,0.12015424738660328,0.9801803584923824,6.03884713703518,2.6042029221716136,32.0,,,0.09100000000000001
